Festival,Year,Award,Award Category,Title,Winner,Length,Directors,Countries,URL
Tokyo Film Awards,2023,Best Short Film,,The Kick of 3 Dragons,False,,Billy Huang,Indonesia,https://www.imdb.com/title/tt28026216/?ref_=ev_nom
Tokyo Film Awards,2022,Best Short Film,,Beyond the Woods,True,15 minutes,Kailani D'Amour,Australia,https://www.imdb.com/title/tt21989016/?ref_=ev_nom
Tokyo Film Awards,2022,Best Short Film,,Other Side of the Hole,True,,Eiko Nijo,United States,https://www.imdb.com/title/tt21090856/?ref_=ev_nom
Tokyo Film Awards,2022,Best Short Film,,Instant Love,False,,Kinga Kornak,Poland,https://www.imdb.com/title/tt23986568/?ref_=ev_nom
Tokyo Film Awards,2021,Best Short Film,,Szembesülés,True,,Viktor Szabados,Hungary,https://www.imdb.com/title/tt10126104/?ref_=ev_nom
